,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,artist,song name
134,0.653,0.472,2,-14.797,1,0.0353,0.0554,7.69e-05,0.397,0.448,102.558,audio_features,5A7eooPKJHtr0UJmatjH4a,spotify:track:5A7eooPKJHtr0UJmatjH4a,https://api.spotify.com/v1/tracks/5A7eooPKJHtr0UJmatjH4a,https://api.spotify.com/v1/audio-analysis/5A7eooPKJHtr0UJmatjH4a,74411,4,pink floyd,"Another Brick in the Wall, Pt. 3"
135,0.501,0.338,11,-19.12,1,0.0395,0.187,0.868,0.514,0.106,95.942,audio_features,5yMyLZu4wPvWcbLFiRhYVM,spotify:track:5yMyLZu4wPvWcbLFiRhYVM,https://api.spotify.com/v1/tracks/5yMyLZu4wPvWcbLFiRhYVM,https://api.spotify.com/v1/audio-analysis/5yMyLZu4wPvWcbLFiRhYVM,127830,4,pink floyd,Empty Spaces
136,0.315,0.218,0,-15.215,1,0.0728,0.305,0.0012,0.226,0.156,175.868,audio_features,66YHxyGAUGjMBDdrDlWIMD,spotify:track:66YHxyGAUGjMBDdrDlWIMD,https://api.spotify.com/v1/tracks/66YHxyGAUGjMBDdrDlWIMD,https://api.spotify.com/v1/audio-analysis/66YHxyGAUGjMBDdrDlWIMD,216800,4,pink floyd,One of My Turns
137,0.472,0.0118,2,-31.734,1,0.0397,0.783,0.799,0.247,0.0698,102.949,audio_features,0ZXkKRO789QKBR6ME7pIDF,spotify:track:0ZXkKRO789QKBR6ME7pIDF,https://api.spotify.com/v1/tracks/0ZXkKRO789QKBR6ME7pIDF,https://api.spotify.com/v1/audio-analysis/0ZXkKRO789QKBR6ME7pIDF,73430,4,pink floyd,Goodbye Cruel World
138,0.515,0.565,4,-9.547,1,0.0304,0.113,1.35e-05,0.122,0.374,104.372,audio_features,3Tsh9pjiJ5cvmuiZALdgVz,spotify:track:3Tsh9pjiJ5cvmuiZALdgVz,https://api.spotify.com/v1/tracks/3Tsh9pjiJ5cvmuiZALdgVz,https://api.spotify.com/v1/audio-analysis/3Tsh9pjiJ5cvmuiZALdgVz,261587,4,pink floyd,What Do You Want from Me
139,0.251,0.148,0,-21.056,1,0.0432,0.713,0.432,0.106,0.0569,206.542,audio_features,2gTnu5RZNVFVnWdjLnyUA5,spotify:track:2gTnu5RZNVFVnWdjLnyUA5,https://api.spotify.com/v1/tracks/2gTnu5RZNVFVnWdjLnyUA5,https://api.spotify.com/v1/audio-analysis/2gTnu5RZNVFVnWdjLnyUA5,203361,4,pink floyd,Nobody Home
140,0.381,0.508,4,-15.094,1,0.0465,0.00613,0.846,0.535,0.403,103.804,audio_features,6uU0Hu8oVk9gBihokcrDMH,spotify:track:6uU0Hu8oVk9gBihokcrDMH,https://api.spotify.com/v1/tracks/6uU0Hu8oVk9gBihokcrDMH,https://api.spotify.com/v1/audio-analysis/6uU0Hu8oVk9gBihokcrDMH,354613,4,pink floyd,One of These Days
141,0.448,0.402,7,-12.135,1,0.03,0.365,0.000746,0.076,0.244,100.454,audio_features,7KA6U0WOHdGxWWLGPYN2Sb,spotify:track:7KA6U0WOHdGxWWLGPYN2Sb,https://api.spotify.com/v1/tracks/7KA6U0WOHdGxWWLGPYN2Sb,https://api.spotify.com/v1/audio-analysis/7KA6U0WOHdGxWWLGPYN2Sb,341667,4,pink floyd,On the Turning Away
142,0.414,0.37,4,-15.748,0,0.0573,0.696,0.000129,0.211,0.33,76.846,audio_features,1UMXtudajhlocMzXVSngDU,spotify:track:1UMXtudajhlocMzXVSngDU,https://api.spotify.com/v1/tracks/1UMXtudajhlocMzXVSngDU,https://api.spotify.com/v1/audio-analysis/1UMXtudajhlocMzXVSngDU,318846,4,pink floyd,The Trial
143,0.571,0.198,7,-16.919,1,0.0294,0.435,0.125,0.262,0.326,129.024,audio_features,077OhUjy58qkjscrXjW696,spotify:track:077OhUjy58qkjscrXjW696,https://api.spotify.com/v1/tracks/077OhUjy58qkjscrXjW696,https://api.spotify.com/v1/audio-analysis/077OhUjy58qkjscrXjW696,96560,4,pink floyd,The Show Must Go On
144,0.292,0.454,9,-14.89,1,0.0316,0.371,0.509,0.719,0.105,150.916,audio_features,5OFi9CIyD6s1oENyHapK2W,spotify:track:5OFi9CIyD6s1oENyHapK2W,https://api.spotify.com/v1/tracks/5OFi9CIyD6s1oENyHapK2W,https://api.spotify.com/v1/audio-analysis/5OFi9CIyD6s1oENyHapK2W,255547,3,pink floyd,In the Flesh
145,0.324,0.11,9,-19.78,0,0.0351,0.0847,0.777,0.621,0.0393,123.534,audio_features,3QEWEv1tvHmVgsT5THpGDn,spotify:track:3QEWEv1tvHmVgsT5THpGDn,https://api.spotify.com/v1/tracks/3QEWEv1tvHmVgsT5THpGDn,https://api.spotify.com/v1/audio-analysis/3QEWEv1tvHmVgsT5THpGDn,255934,3,pink floyd,Don't Leave Me Now
146,0.28,0.716,9,-12.095,0,0.0983,0.0652,0.52,0.512,0.0618,135.378,audio_features,55e99bv2wlgTYtNEYHWtN1,spotify:track:55e99bv2wlgTYtNEYHWtN1,https://api.spotify.com/v1/tracks/55e99bv2wlgTYtNEYHWtN1,https://api.spotify.com/v1/audio-analysis/55e99bv2wlgTYtNEYHWtN1,619079,4,pink floyd,Sheep
147,0.691,0.324,0,-15.366,1,0.0446,0.171,0.0223,0.0674,0.543,121.664,audio_features,3kbUFmLV5SHVQonfOpNgkd,spotify:track:3kbUFmLV5SHVQonfOpNgkd,https://api.spotify.com/v1/tracks/3kbUFmLV5SHVQonfOpNgkd,https://api.spotify.com/v1/audio-analysis/3kbUFmLV5SHVQonfOpNgkd,223067,4,pink floyd,San Tropez
148,0.287,0.499,0,-11.094,1,0.0437,0.464,0.000652,0.102,0.142,176.437,audio_features,1bQ4zbP8Fo0qAePTSOfYji,spotify:track:1bQ4zbP8Fo0qAePTSOfYji,https://api.spotify.com/v1/tracks/1bQ4zbP8Fo0qAePTSOfYji,https://api.spotify.com/v1/audio-analysis/1bQ4zbP8Fo0qAePTSOfYji,379241,4,pink floyd,Coming Back to Life
149,0.179,0.162,4,-22.191,0,0.162,0.678,0.022,0.119,0.0869,34.821,audio_features,7FCiDC7ojdm19CJePq6QAe,spotify:track:7FCiDC7ojdm19CJePq6QAe,https://api.spotify.com/v1/tracks/7FCiDC7ojdm19CJePq6QAe,https://api.spotify.com/v1/audio-analysis/7FCiDC7ojdm19CJePq6QAe,93356,4,pink floyd,Vera
